feature,importance
지면온도(°C)_3일_평균,0.546296
월_코사인,0.09047
수온,0.090001
기온(°C)_3일_평균,0.076629
전기전도도_이전_30,0.051194
강수량(mm)_7일_합,0.028438
전기전도도_이전_14,0.025804
일,0.021739
전기전도도,0.013564
전기전도도_이전_7,0.010622
수리전도도_강수_지표,0.009565
강수량(mm)_3일_합,0.008416
월,0.006758
전기전도도_이전_3,0.00472
전기전도도_이전_1,0.004612
월_사인,0.004155
현지기압(hPa),0.004012
시간,0.000478
시간_코사인,0.000292
기온(°C),0.000276
온도차,0.000194
지면온도(°C),0.000185
상대습도,0.000182
습도(%),0.000181
풍속(m/s),0.000171
순강수량,0.00017
기압_변화량,0.000151
시간_사인,0.000143
강수량(mm)_이전_1,0.000136
잠재증발량,0.000127
강수량(mm)_이전_3,6.5e-05
강수량(mm)_이전_7,5.9e-05
강수량(mm),5.5e-05
강수량_표고_상호,4.1e-05
전기전도도_변화량,3.7e-05
강수량(mm)_이전_14,3.1e-05
강수량(mm)_이전_30,2.7e-05
