feature,importance
월_코사인,0.440279
강수량(mm)_7일_합,0.169535
수온,0.069678
전기전도도,0.064792
기온(°C)_3일_평균,0.056014
전기전도도_이전_30,0.025174
강수량(mm)_3일_합,0.024905
월,0.023935
일,0.023093
수리전도도_강수_지표,0.02064
전기전도도_이전_3,0.018381
전기전도도_이전_14,0.016318
지면온도(°C)_3일_평균,0.013876
전기전도도_이전_7,0.013062
전기전도도_이전_1,0.007044
현지기압(hPa),0.004489
월_사인,0.003797
기온(°C),0.00079
온도차,0.000703
지면온도(°C),0.000531
시간_코사인,0.000332
순강수량,0.000299
상대습도,0.000286
시간,0.000246
기압_변화량,0.000219
습도(%),0.000212
잠재증발량,0.000171
강수량(mm)_이전_1,0.000166
강수량(mm)_이전_3,0.000166
풍속(m/s),0.000164
시간_사인,0.000157
강수량(mm)_이전_7,0.000133
강수량(mm)_이전_30,0.0001
강수량_표고_상호,9.8e-05
강수량(mm),9.3e-05
강수량(mm)_이전_14,8e-05
전기전도도_변화량,4e-05
