feature,importance
지면온도(°C)_3일_평균,0.801236
수리전도도_강수_지표,0.023661
강수량(mm)_7일_합,0.021933
강수량(mm)_3일_합,0.020833
수온,0.020252
일,0.018298
전기전도도_이전_30,0.017813
전기전도도_이전_7,0.014904
전기전도도,0.012722
전기전도도_이전_14,0.009396
전기전도도_이전_1,0.006718
월,0.006293
전기전도도_이전_3,0.005149
월_사인,0.004922
기온(°C)_3일_평균,0.004912
월_코사인,0.004531
현지기압(hPa),0.00282
강수량(mm)_이전_3,0.000495
기온(°C),0.000366
강수량(mm)_이전_1,0.000304
강수량(mm)_이전_7,0.000264
순강수량,0.000213
온도차,0.000208
강수량(mm)_이전_14,0.000205
시간,0.00019
지면온도(°C),0.000169
풍속(m/s),0.000158
시간_코사인,0.000154
상대습도,0.000145
시간_사인,0.000136
습도(%),0.000131
잠재증발량,0.00012
기압_변화량,0.000113
강수량(mm)_이전_30,6.7e-05
강수량_표고_상호,6.6e-05
강수량(mm),5.4e-05
전기전도도_변화량,4.7e-05
