feature,importance
기온(°C)_3일_평균,0.653299
강수량(mm)_7일_합계,0.093716
수온,0.040546
전기전도도,0.037015
강수량(mm)_3일_합계,0.023812
전기전도도_이전_30,0.021798
전기전도도_이전_14,0.021516
수리전도도_강수_지표,0.020437
지면온도(°C)_3일_평균,0.01859
전기전도도_이전_3,0.016044
일,0.012058
전기전도도_이전_7,0.010695
전기전도도_이전_1,0.007376
월_코사인,0.007168
현지기압(hPa),0.00592
월,0.004041
월_사인,0.002273
기온(°C),0.000454
순강수량,0.000349
온도차,0.000259
지면온도(°C),0.000245
강수량(mm)_이전_1,0.000243
습도(%),0.000208
상대습도,0.000195
전기전도도_변화량,0.000186
풍속(m/s),0.000166
시간,0.000164
시간_코사인,0.000153
기압_변화량,0.000147
강수량(mm)_이전_7,0.000139
잠재증발량,0.000131
시간_사인,0.000128
강수량_표고_상호,0.000128
강수량(mm),0.000128
강수량(mm)_이전_3,0.000126
강수량(mm)_이전_14,9.1e-05
강수량(mm)_이전_30,5.8e-05
