feature,importance
기온(°C)_3일_평균,0.54923
강수량(mm)_7일_합,0.117293
지면온도(°C)_3일_평균,0.067993
전기전도도_이전_30,0.057628
수온,0.050293
전기전도도,0.040937
전기전도도_이전_14,0.025001
전기전도도_이전_7,0.021661
전기전도도_이전_3,0.012849
수리전도도_강수_지표,0.00988
월_사인,0.009754
강수량(mm)_3일_합,0.009505
월,0.008132
일,0.006805
전기전도도_이전_1,0.006706
월_코사인,0.002647
현지기압(hPa),0.001507
강수량(mm)_이전_3,0.00032
강수량(mm)_이전_1,0.000207
기압_변화량,0.000188
기온(°C),0.000176
순강수량,0.000169
시간,0.000107
강수량(mm)_이전_7,0.000103
온도차,0.000101
상대습도,9.1e-05
시간_코사인,8.6e-05
습도(%),8.4e-05
지면온도(°C),8.2e-05
강수량(mm),6.7e-05
강수량_표고_상호,6.4e-05
시간_사인,6.3e-05
잠재증발량,6.3e-05
풍속(m/s),5.8e-05
전기전도도_변화량,5.6e-05
강수량(mm)_이전_14,4.9e-05
강수량(mm)_이전_30,4.2e-05
