feature,importance
지면온도(°C)_3일_평균,0.511609
강수량(mm)_7일_합,0.135834
전기전도도_이전_30,0.084206
전기전도도_이전_14,0.056
수온,0.05046
전기전도도,0.038564
전기전도도_이전_3,0.018365
월,0.017856
전기전도도_이전_1,0.016999
월_사인,0.016894
전기전도도_이전_7,0.01363
월_코사인,0.01197
일,0.011556
기온(°C)_3일_평균,0.008957
수리전도도_강수_지표,0.00215
강수량(mm)_3일_합,0.002009
현지기압(hPa),0.001371
기온(°C),0.000258
순강수량,0.000236
풍속(m/s),0.000123
상대습도,0.000104
잠재증발량,9.90E-05
기압_변화량,9.40E-05
습도(%),8.20E-05
온도차,7.80E-05
지면온도(°C),7.40E-05
강수량(mm),6.80E-05
강수량_표고_상호,5.40E-05
강수량(mm)_이전_7,4.80E-05
시간,4.80E-05
시간_코사인,4.40E-05
전기전도도_변화량,4.20E-05
강수량(mm)_lag_3,3.40E-05
시간_사인,3.30E-05
강수량(mm)_이전_1,2.40E-05
강수량(mm)_이전_14,1.50E-05
강수량(mm)_이전_30,1.20E-05
