feature,importance
수온,0.22526
전기전도도_이전_30,0.197813
강수량(mm)_7일_합,0.163852
전기전도도_이전_14,0.098434
월_사인,0.062419
전기전도도,0.055366
월,0.045126
전기전도도_이전_7,0.031927
월_코사인,0.028864
전기전도도_이전_3,0.021865
기온(°C)_3일_평균,0.018538
지면온도(°C)_3일_평균,0.018151
전기전도도_이전_1,0.01272
일,0.010813
강수량(mm)_3일_합,0.00299
수리전도도_강수_지표,0.002889
현지기압(hPa),0.001125
전기전도도_변화량,0.000317
기온(°C),0.000235
기압_변화량,0.000174
온도차,0.000142
지면온도(°C),0.000136
시간,0.000108
상대습도,8.9e-05
순강수량,8.9e-05
습도(%),8.3e-05
시간_코사인,7.8e-05
시간_사인,7.3e-05
잠재증발량,6e-05
풍속(m/s),5.9e-05
강수량(mm)_이전_7,5.3e-05
강수량_표고_상호,3.3e-05
강수량(mm)_이전_14,3.3e-05
강수량(mm),3.3e-05
강수량(mm)_이전_30,2.4e-05
강수량(mm)_이전_1,1.8e-05
강수량(mm)_이전_3,1.3e-05
