feature,importance
기온(°C)_3일_평균,0.522536
강수량(mm)_7일_합,0.141903
수온,0.053206
전기전도도_이전_30,0.038952
전기전도도,0.038149
월,0.032238
전기전도도_이전_14,0.023355
전기전도도_이전_3,0.022447
강수량(mm)_3일_합,0.021463
수리전도도_강수_지표,0.020703
전기전도도_이전_7,0.019928
일,0.015296
지면온도(°C)_3일_평균,0.013967
전기전도도_이전_1,0.011407
월_사인,0.007366
현지기압(hPa),0.006424
월_코사인,0.005072
강수량(mm)_이전_1,0.000842
기온(°C),0.000534
기압_변화량,0.00036
지면온도(°C),0.000358
순강수량,0.000319
온도차,0.000306
풍속(m/s),0.000305
시간,0.000301
상대습도,0.000283
습도(%),0.000272
시간_코사인,0.000249
잠재증발량,0.000246
시간_사인,0.000244
전기전도도_변화량,0.000224
강수량(mm)_이전_3,0.000159
강수량(mm)_이전_7,0.000147
강수량(mm)_이전_30,0.000135
강수량_표고_상호,0.000121
강수량(mm),0.000117
강수량(mm)_이전_14,6.9e-05
