feature,importance
지면온도(°C)_3일_평균,0.690713
강수량(mm)_7일_합,0.090105
수온,0.071781
월_코사인,0.025158
전기전도도_이전_14,0.018676
전기전도도_이전_7,0.018061
전기전도도_이전_30,0.015799
전기전도도,0.012875
전기전도도_이전_3,0.012222
일,0.010903
전기전도도_이전_1,0.010754
기온(°C)_3일_평균,0.007471
월,0.006143
월_사인,0.0051
강수량(mm)_3일_합,0.001186
현지기압(hPa),0.001138
수리전도도_강수_지표,0.001133
기온(°C),0.000115
상대습도,0.000106
습도(%),0.000105
온도차,8.8e-05
지면온도(°C),5.9e-05
전기전도도_변화량,4.9e-05
강수량(mm)_이전_7,4.4e-05
순강수량,3.4e-05
기압_변화량,3.3e-05
시간,2.5e-05
시간_코사인,2.1e-05
시간_사인,2.1e-05
풍속(m/s),1.8e-05
잠재증발량,1.7e-05
강수량_표고_상호,1.3e-05
강수량(mm),1e-05
강수량(mm)_이전_14,9e-06
강수량(mm)_이전_1,6e-06
강수량(mm)_이전_3,5e-06
강수량(mm)_이전_30,5e-06
